Location,Age_primary, Age_Secondary,Literacy_Rate,Enrollment_primaryBoys,Enrollment_primaryGirls,Enrollment_Primary Total,Enrollment_secondary_Boys,Enrollment_Secondar_Girls,Enrollment_secondary_total,Dropout _primary_boys,Dropout_primary_girls,Dropout_primary_Total,Dropout_secondary_boysDropout_secondary_boy,Dropout_Secondary_girls,Dropout_Secondary_total,Schools_with_girsl_toilet,Schools_with_boys_toilet
A & N Islands,5,15,86.27,95.88,91.97,93.93,105.4,96.61,101.28,0.83,0.51,0.68,17.66,10.15,14.14,76.14,0
A & N Islands,4,16,86.27,96.62,96.87,96.74,59.83,60.83,60.3,1.35,1.06,1.21,18.94,12.2,15.87,90.94,0
A & N Islands,5,17,86.27,129.12,127.77,128.46,65.16,65.38,65.27,0.47,0.55,0.51,21.05,12.21,16.93,96.22,0
Andhra Pradesh,4,14,66.4,111.77,115.16,113.43,31.78,34.27,32.94,3.3,3.05,3.18,2.66,NR,0.35,0,73.44
Andhra Pradesh,5,17,66.4,95.03,101.15,97.96,23.33,24.17,23.7,4.31,4.39,4.35,12.65,10.85,11.79,0,86.54
Andhra Pradesh,6,15,66.4,88.42,96.09,91.85,90.5,92.88,91.49,6.57,6.89,6.72,NR,NR,NR,0,100
Arunachal  Pradesh,7,16,66.95,104.06,103.93,103.99,58.27,56.16,57.23,11.54,10.22,10.89,18.57,15.49,17.07,75.47,0
Arunachal Pradesh,4,17,66.95,89.5,81.89,85.78,37.77,41.99,39.64,15.84,14.44,15.16,7.85,2.14,5.11,94.73,0
Arunachal Pradesh,5,15,66.95,87.8,89.78,88.69,34.37,64.55,44.36,11.51,10.09,10.82,19.37,17.44,18.42,100,100
Assam,5,17,66.95,108.78,112.95,110.67,98.88,102.3,100.42,7.02,5.46,6.24,4.87,4.5,4.69,0,0
Assam,7,16,85.9,104.97,105.32,105.14,68.32,72.36,70.24,8.19,6.68,7.44,7.62,6.83,7.24,0,68.69
Assam,4,17,85.9,100.32,102.06,101.13,53.06,43.25,48.51,16.07,14.65,15.36,NR,NR,NR,100,80.21
Bihar,6,15,70.9,96.62,100.57,98.39,72.84,65.43,69.55,NR,NR,NR,NR,NR,NR,0,0
Bihar,6,16,70.9,99.8,101.27,100.49,96.15,96.11,96.13,2.38,1.79,2.09,NR,NR,NR,72.31,86.59
